attractionId,activityId
attr1,act18
attr1,act11
attr2,act3
attr2,act6
attr3,act18
attr3,act5
attr4,act18
attr5,act18
attr5,act11
attr6,act11
attr6,act19
attr7,act11
attr8,act5
attr8,act18
attr9,act18
attr9,act5
attr10,act18
attr11,act3
attr11,act6
attr12,act3
attr12,act5
attr13,act18
attr14,act18
attr15,act18
attr16,act5
attr16,act18
attr17,act5
attr17,act18
attr18,act18
attr19,act18
attr20,act18
attr21,act18
attr22,act3
attr22,act6
attr23,act19
attr24,act5
attr24,act18
attr25,act18
attr25,act5
attr26,act3
attr26,act6
attr27,act18
attr28,act5
attr28,act18
attr29,act12
attr30,act5
attr30,act18
attr31,act5
attr31,act18
attr32,act5
attr33,act20
attr34,act5
attr34,act18
attr35,act1
attr35,act19
attr36,act3
attr36,act5
attr37,act3
attr38,act18
attr39,act20
attr40,act19
attr41,act5
attr41,act18
attr42,act18
attr43,act14
attr44,act5
attr44,act18
attr45,act5
attr45,act18
attr46,act18
attr47,act18
attr48,act3
attr48,act5
attr49,act12
attr50,act18
attr51,act20
attr52,act20
attr53,act3
attr53,act6
attr54,act12
attr55,act11
attr56,act3
attr56,act6
attr57,act20
attr58,act13
attr59,act3
attr59,act6
attr60,act18
attr60,act6
attr61,act5
attr61,act18
attr62,act5
attr62,act18
attr63,act3
attr63,act6
attr64,act19
attr65,act4
attr66,act5
attr67,act6
attr68,act18
attr69,act5
attr70,act18
attr71,act5
attr71,act18
attr72,act5
attr72,act18
attr73,act3
attr73,act20
attr74,act3
attr74,act20
attr75,act3
attr75,act20
attr76,act3
attr76,act6
attr77,act19
attr78,act3
attr78,act6
attr79,act3
attr79,act6
attr80,act7
attr81,act7
attr82,act11
attr83,act6
attr84,act18
attr85,act5
attr85,act18
attr86,act5
attr86,act18
attr87,act18
attr88,act12
attr89,act3
attr89,act5
attr90,act5
attr90,act18
attr91,act5
attr91,act18
attr92,act3
attr92,act6
attr93,act5
attr94,act18
attr95,act5
attr95,act11
attr96,act3
attr96,act5
attr97,act11
attr98,act3
attr98,act10
attr99,act18
attr100,act3
attr100,act6
attr101,act5
attr101,act18
attr102,act3
attr102,act6
attr103,act18
attr104,act7
attr105,act18
attr106,act18
attr107,act18
attr108,act18
attr109,act18
attr110,act5
attr110,act18
attr111,act18
attr112,act18
attr113,act1
attr113,act8
attr114,act1
attr114,act8
attr115,act1
attr115,act8
attr116,act5
attr116,act18
attr117,act18
attr118,act18
attr119,act18
attr120,act11
attr121,act3
attr121,act6
attr122,act11
attr123,act18
attr124,act5
attr125,act5
attr125,act18
attr126,act2
attr127,act3
attr127,act6
attr128,act19
attr129,act11
attr130,act5
attr130,act18
attr131,act5
attr132,act10
attr133,act4
attr134,act18
attr135,act5
attr135,act18
attr136,act18
attr137,act10
attr138,act6
attr139,act3
attr139,act5
attr140,act5
attr140,act18
attr141,act5
attr141,act18
attr142,act18
attr143,act11
attr144,act11
attr145,act18
attr146,act5
attr147,act18
attr148,act5
attr149,act12
attr150,act2
attr151,act18
attr152,act2
attr153,act14
attr154,act12
attr155,act12
attr156,act11
attr157,act18
attr158,act18
attr159,act5
attr159,act18
attr160,act18
attr161,act18
attr162,act8
attr163,act1
attr163,act12
attr164,act1
attr164,act8
attr165,act1
attr165,act8
attr166,act11
attr167,act2
attr167,act12
attr168,act18
attr169,act12
attr170,act5
attr170,act18
attr171,act18
attr172,act18
attr173,act7
attr174,act18
attr175,act5
attr175,act18
attr176,act19
attr177,act18
attr177,act5
attr178,act5
attr178,act18
attr179,act5
attr179,act18
attr180,act18
attr181,act5
attr182,act11
attr183,act11
attr184,act2
attr185,act7
attr185,act16
attr186,act11
attr187,act18
attr188,act18
attr189,act18
attr190,act18
attr191,act18
attr192,act3
attr192,act5
attr193,act5
attr193,act18
attr194,act5
attr194,act18
