cityId,activityId
city1,act3
city1,act6
city1,act11
city1,act18
city1,act20
city2,act3
city2,act11
city2,act18
city3,act3
city3,act5
city3,act6
city3,act18
city4,act3
city4,act6
city4,act19
city5,act3
city5,act5
city5,act6
city6,act3
city6,act5
city6,act18
city7,act3
city7,act5
city7,act18
city8,act3
city8,act6
city8,act18
city8,act20
city9,act3
city9,act6
city9,act19
city10,act3
city10,act5
city10,act18
city11,act3
city11,act6
city11,act18
city12,act3
city12,act5
city12,act11
city13,act3
city13,act5
city13,act18
city14,act3
city14,act5
city14,act18
city15,act3
city15,act5
city15,act19
city16,act3
city16,act6
city17,act3
city17,act6
city18,act3
city19,act3
city20,act3
city20,act14
city21,act3
city21,act5
city22,act3
city22,act5
city23,act3
city23,act11
city24,act1
city24,act8
city24,act12
city25,act1
city25,act8
city26,act3
city26,act6
city27,act2
city27,act3
city28,act2
city28,act9
city29,act1
city29,act8
city30,act3
city30,act4
city31,act3
city32,act3
city32,act6
city33,act3
city33,act5
city34,act3
city34,act5
city35,act3
city35,act11
city36,act3
city36,act5
city37,act3
city37,act5
city38,act2
city38,act9
city38,act16
city39,act2
city39,act4
city40,act1
city40,act8
city40,act12
city41,act1
city41,act8
city42,act3
city42,act5
city43,act1
city43,act8
city44,act1
city44,act8
city44,act15
city45,act1
city45,act8
city46,act1
city46,act9
city47,act3
city47,act11
city48,act3
city48,act5
city49,act3
city50,act3
city51,act3
city51,act5
city52,act3
city52,act5
city53,act3
city53,act5
city54,act3
city54,act5
city55,act3
city55,act11
city56,act2
city56,act9
city57,act3
city57,act16
city58,act3
city59,act3
city60,act3
city61,act3
city61,act5
city62,act3
city63,act3
city63,act5
city64,act3
city65,act3
city68,act3
city69,act3
