cityId,eventId
city1,event1
city2,event2
city3,event3
city4,event4
city5,event5
city6,event6
city7,event7
city8,event8
city9,event9
city10,event10
city11,event11
city12,event12
city13,event13
city14,event14
city15,event15
city16,event16
city17,event17
city18,event18
city19,event19
city20,event20
city21,event21
city22,event22
city23,event23
city24,event24
city25,event25
city26,event26
city27,event27
city28,event28
city29,event29
city30,event30
city31,event31
city32,event32
city33,event33
city34,event34
city35,event35
city36,event36
city37,event37
city38,event38
city39,event39
city40,event40
city41,event41
city42,event42
city43,event43
city44,event44
city45,event45
city46,event46
city47,event47
city48,event48
city49,event49
city50,event50
