userId1,userId2
user1,user2
user1,user4
user1,user10
user2,user5
user2,user8
user2,user15
user3,user6
user3,user9
user3,user14
user4,user7
user4,user12
user4,user16
user5,user13
user5,user18
user5,user23
user6,user14
user6,user21
user6,user28
user7,user10
user7,user22
user7,user25
user8,user15
user8,user19
user8,user26
user9,user17
user9,user24
user10,user16
user10,user22
user10,user27
user11,user18
user11,user23
user12,user19
user12,user25
user13,user20
user13,user26
user14,user21
user14,user28
user15,user23
user15,user29
user16,user22
user16,user27
user17,user24
user18,user20
user19,user26
user20,user29
user21,user28
user22,user27
user23,user29
user24,user30
user25,user30
user26,user30
