cityId1,cityId2,distance,travelTime
city1,city26,392.5,2.5
city1,city27,660.8,3.5
city1,city28,687.2,3.8
city1,city57,500.2,3.0
city1,city58,589.1,3.2
city1,city59,397.4,2.8
city2,city9,504.3,2.8
city2,city34,536.2,3.0
city2,city35,307.8,1.8
city2,city51,428.7,2.5
city2,city52,451.2,2.6
city2,city55,395.6,2.2
city2,city56,464.8,2.5
city3,city11,230.4,1.5
city3,city12,395.2,2.5
city3,city32,477.3,2.8
city3,city33,191.3,1.2
city3,city61,108.7,1.0
city3,city62,330.5,2.0
city4,city23,173.2,1.2
city4,city49,57.3,0.5
city4,city50,40.8,0.4
city5,city29,504.2,3.0
city5,city30,289.4,1.8
city5,city31,423.6,2.5
city6,city20,443.2,2.8
city6,city21,526.7,3.2
city7,city41,478.3,3.0
city7,city42,256.7,1.8
city8,city14,463.2,2.8
city8,city15,534.1,3.2
city9,city34,536.2,3.0
city9,city35,307.8,1.8
city10,city36,313.4,2.0
city10,city37,198.7,1.5
city11,city12,259.8,1.8
city11,city61,121.6,1.2
city12,city11,259.8,1.8
city13,city38,230.4,1.5
city13,city39,155.2,1.0
city20,city21,293.4,2.0
city22,city21,293.4,2.0
city23,city47,99.8,1.0
city23,city48,55.2,0.6
city24,city25,139.6,1.2
city24,city43,52.1,0.5
city25,city24,139.6,1.2
city26,city27,314.2,2.0
city26,city59,397.4,2.8
city27,city28,200.3,1.5
city28,city27,200.3,1.5
city29,city30,289.4,1.8
city30,city29,289.4,1.8
city34,city52,103.4,1.0
city35,city56,464.8,2.5
city36,city37,115.2,1.0
city38,city39,155.2,1.0
city41,city42,256.7,1.8
city42,city41,256.7,1.8
city43,city44,56.3,0.6
city44,city43,56.3,0.6
city45,city46,88.7,1.0
city46,city45,88.7,1.0
city47,city48,55.2,0.6
city48,city47,55.2,0.6
city51,city52,103.4,1.0
city52,city51,103.4,1.0
city53,city54,198.3,1.5
city54,city53,198.3,1.5
city61,city62,108.7,1.0
city62,city61,108.7,1.0
city63,city64,723.4,4.5
city64,city63,723.4,4.5
